PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,MERID42IN                          ,"42"" NG DV IPI FPLC MERIDIAN***",.00                      
4103 ,Majestic Units                ,MER36L                             ,"36"" LP DV IPI FPLC MERIDIAN   ",6.00                     
4103 ,Majestic Units                ,MER36MN                            ,"36""NG MODERN TV DV IPI FPLC   ",2.00                     
4103 ,Majestic Units                ,MER36N                             ,"36"" NG DV IPI FPLC MERIDIAN   ",3.00                     
4103 ,Majestic Units                ,MER36PL                            ,"36""LP T/R DV IPI FPLC MERIDPLA",2.00                     
4103 ,Majestic Units                ,MER36PN                            ,"36""NG T/R DV IPI FPLC MERIDPLA",3.00                     
4103 ,Majestic Units                ,MER42L                             ,"42"" LP DV IPI FPLC MERIDIAN   ",1.00                     
4103 ,Majestic Units                ,MER42MN                            ,"42""NG MODERN DV IPI FPLC      ",2.00                     
4103 ,Majestic Units                ,MER42N                             ,"42"" NG DV IPI FPLC MERIDIAN   ",1.00                     
4103 ,Majestic Units                ,MER42PL                            ,"42"" LP DV IPI FPLC MERIDIANPLA",7.00                     
4103 ,Majestic Units                ,MER42PN                            ,"42"" NG DV IPI FPLC MERIDIANPLA",7.00                     
4103 ,Majestic Units                ,MONTANA-36                         ,"36""OUTDOOR RDNT WOOD FPLC SS**",.00                      
4103 ,Majestic Units                ,MONTANA-36H                        ,"36""OUTDOOR RDNT WOOD FPLC SS**",.00                      
4103 ,Majestic Units                ,MONTANA-42                         ,"42""OUTDOOR RDNT WOOD FPLC SS**",.00                      
4103 ,Majestic Units                ,MONTANA-42H                        ,"42""OUTDOOR RDNT WOOD FPLC SS**",.00                      
4103 ,Majestic Units                ,ODCASTLEWD-42                      ,"42"" CASTLEWOOD FIREPLACE******",.00                      
4103 ,Majestic Units                ,ODCASTLEWD-42-B                    ,"42"" CASTLEWOOD OD WOOD FIREBOX",6.00                     
4103 ,Majestic Units                ,ODCOUG-NGK                         ,"NG CONVERSION KIT, ODCOUG     ",.00                      
4103 ,Majestic Units                ,ODCOUG-36NR                        ,"36"" OUTDOOR NG FIREPLACE IPI  ",4.00                     
4103 ,Majestic Units                ,ODCOUG-36PH                        ,"COURTYARD 36"" OD FPLC IPI*****",.00                      
4103 ,Majestic Units                ,ODCOUG-36PT                        ,"COURTYARD 36"" OUTDOOR FPLC****",.00                      
4103 ,Majestic Units                ,ODCOUG-36SSL                       ,STAINLESS STEEL LINER         ,.00                      
4103 ,Majestic Units                ,ODCOUG-36T                         ,"36"" NG OUTDOOR FPLC IPI*******",.00                      
4103 ,Majestic Units                ,ODCOUG-36TS                        ,"36"" OUTDOOR NG FPLC W/LINER   ",4.00                     
4103 ,Majestic Units                ,ODCOUG-42NR                        ,"42"" OUTDOOR NG FIREPLACE IPI  ",8.00                     
4103 ,Majestic Units                ,ODCOUG-42PH                        ,"COURTYARD 42"" OUTDOOR FPLC****",.00                      
4103 ,Majestic Units                ,ODCOUG-42SSL                       ,STAINLESS STEEL LINER         ,.00                      
4103 ,Majestic Units                ,ODCOUG-42T                         ,"COURTYARD 42"" OUTDOOR FPLC****",.00                      
4103 ,Majestic Units                ,ODCOUG-42TS                        ,"42"" OUTDOOR NG FPLC W/LINER   ",3.00                     
4103 ,Majestic Units                ,ODCTGWD-36                         ,"36""OUTDOOR WOOD FPLC/TRAD BRCK",1.00                     
4103 ,Majestic Units                ,ODCTGWD-36H                        ,"36""OUTDOOR WOOD FPLC W/HERR BR",3.00                     
4103 ,Majestic Units                ,ODCTGWD-42                         ,"42""OUTDOOR WOOD FPLC W/TRAD BR",3.00                     
4103 ,Majestic Units                ,ODCTGWD-42H                        ,"42""OUTDOOR WOOD FPLC/HERR BRCK",5.00                     
